Grade/Class,Skills,Interests,Hobbies,Passion,Favorite Subject,Recommended Career,Salary,Job Description,Job Security,Topics to Be Covered
12th,"Azure, JavaScript, HTML, Node.js",Web Development,Exploring Open Source,Designing User Experiences,Data Science,Software Developer,68154,Develop and maintain software applications.,High,DSA-OOPs-Databases-APIs
MTech Artificial Intelligence,"Docker, JavaScript, CSS, Kubernetes",Web Development,Exploring Open Source,Automating Processes,Mathematics,AR/VR Developer,67524,Create immersive AR/VR experiences.,Very High,Unity-3D Modeling-ARKit-VRSystems
BSc Information Technology,"SQL, Python, Docker, Deep Learning",Ethical Hacking,Coding,Developing Web Apps,Electronics,Backend Developer,137248,Manage server-side logic and databases.,Very High,Node-Python-Databases-APIs
MSc Computer Science,"Azure, SQL, Data Structures, Kubernetes",Software Engineering,Exploring Open Source,Creating Technology,Physics,Backend Developer,147551,Manage server-side logic and databases.,High,Node-Python-Databases-APIs
B.Tech IT,"Node.js, CSS, Machine Learning, Python",UI/UX Design,Competitive Programming,Developing Web Apps,Electronics,Machine Learning Engineer,61260,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
10th,"Azure, React, Networking, Deep Learning",Networking,Designing,Solving Problems,Electronics,DevOps Engineer,100341,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
B.E Information Science,"Kubernetes, Linux, Cloud Computing, Azure",Machine Learning,Debugging,Securing Networks,Mathematics,Blockchain Developer,104866,Develop blockchain-based applications.,Very High,SmartContracts-Web3-Cryptography
MTech Artificial Intelligence,"JavaScript, Automation, Node.js, Linux",UI/UX Design,Coding,Working with Data,Physics,Backend Developer,71274,Manage server-side logic and databases.,High,Node-Python-Databases-APIs
B.E Information Science,"C++, Kubernetes, Automation, Azure",Ethical Hacking,Coding,Building Intelligent Systems,Data Science,Network Engineer,63679,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
MTech Artificial Intelligence,"Networking, DevOps, HTML, AWS",Web Development,Competitive Programming,Building Intelligent Systems,Data Science,UI/UX Designer,64517,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
MSc Computer Science,"Java, Data Structures, Automation, AWS",App Development,Coding,Automating Processes,Physics,Network Engineer,89360,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
BSc Computer Science,"Linux, SQL, React, Python",Networking,Debugging,Designing User Experiences,Computer Science,Software Developer,123860,Develop and maintain software applications.,Very High,DSA-OOPs-Databases-APIs
MTech Data Science,"HTML, Python, Automation, Cloud Computing",App Development,Building Projects,Designing User Experiences,Physics,Machine Learning Engineer,96908,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
B.E Information Science,"Azure, C++, CSS, HTML",AI,Designing,Solving Problems,Physics,Cybersecurity Analyst,87978,Monitor and protect systems from cyber threats.,High,NetworkSecurity-Firewalls-EthicalHacking
BCA,"Docker, Networking, Deep Learning, Java",Cloud Computing,Building Projects,Creating Technology,Physics,Network Engineer,86629,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
MTech Artificial Intelligence,"Python, Docker, SQL, Networking",Cloud Computing,Gaming,Creating Technology,Computer Science,Cloud Engineer,129718,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
MSc Computer Science,"Python, Linux, Cybersecurity, C++",Networking,Gaming,Automating Processes,Data Science,Game Developer,125972,Build interactive video games.,Medium,Unity-C#-GamePhysics
BSc Computer Science,"Java, Data Structures, Cybersecurity, AWS",Machine Learning,Building Projects,Designing User Experiences,Electronics,Frontend Developer,110047,Create interactive UI experiences.,High,HTML-CSS-JavaScript-React-UI Design
MSc Computer Science,"React, Kubernetes, Networking, Automation",Data Analytics,Coding,Building Intelligent Systems,Computer Science,QA Automation Engineer,140341,Write automated test suites.,Medium,Selenium-PyTest-API Testing
MSc Computer Science,"Python, React, Kubernetes, Machine Learning",UI/UX Design,Exploring Open Source,Solving Problems,Information Technology,Blockchain Developer,88146,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
10th,"C++, Node.js, Docker, Cybersecurity",Cloud Computing,Debugging,Working with Data,Information Technology,Cybersecurity Analyst,113609,Monitor and protect systems from cyber threats.,High,NetworkSecurity-Firewalls-EthicalHacking
MTech Data Science,"Python, Automation, Docker, Data Structures",Machine Learning,Reading Tech Blogs,Working with Data,Physics,Game Developer,69938,Build interactive video games.,High,Unity-C#-GamePhysics
MSc Computer Science,"Linux, React, CSS, Data Structures",Networking,Building Projects,Designing User Experiences,Mathematics,AI Engineer,148847,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
MTech Artificial Intelligence,"Machine Learning, JavaScript, Cybersecurity, DevOps",Web Development,Debugging,Working with Data,Computer Science,Network Engineer,102455,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
MCA,"Networking, Automation, Azure, JavaScript",Web Development,Designing,Designing User Experiences,Computer Science,Mobile App Developer,74935,Create mobile applications.,Medium,Android-iOS-ReactNative
B.E Information Science,"Linux, Cybersecurity, Deep Learning, Cloud Computing",Software Engineering,Coding,Solving Problems,Information Technology,Game Developer,81969,Build interactive video games.,Medium,Unity-C#-GamePhysics
MTech Data Science,"AWS, Azure, DevOps, JavaScript",Data Analytics,Debugging,Designing User Experiences,Computer Science,DevOps Engineer,117269,Automate CI/CD pipelines and system deployments.,Medium,Linux-CI/CD-Docker-Kubernetes
BSc Computer Science,"Cybersecurity, Automation, Python, HTML",Software Engineering,Building Projects,Developing Web Apps,Electronics,DevOps Engineer,115802,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
MTech Data Science,"Node.js, Python, Azure, Java",Ethical Hacking,Gaming,Creating Technology,Electronics,Network Engineer,141222,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
MCA,"React, Automation, Cybersecurity, SQL",App Development,Exploring Open Source,Securing Networks,Information Technology,Machine Learning Engineer,123024,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
B.Tech IT,"Linux, Automation, CSS, Python",Web Development,Debugging,Building Intelligent Systems,Physics,Database Administrator,105010,Manage and secure databases.,High,SQL-NoSQL-DBSecurity
B.E Computer Science,"Linux, Python, SQL, Data Structures",UI/UX Design,Gaming,Solving Problems,Mathematics,Frontend Developer,123973,Create interactive UI experiences.,Very High,HTML-CSS-JavaScript-React-UI Design
MSc Computer Science,"Python, C++, Automation, React",UI/UX Design,Coding,Working with Data,Physics,DevOps Engineer,108897,Automate CI/CD pipelines and system deployments.,Medium,Linux-CI/CD-Docker-Kubernetes
10th,"Data Structures, Linux, Cybersecurity, Networking",AI,Competitive Programming,Automating Processes,Physics,DevOps Engineer,136373,Automate CI/CD pipelines and system deployments.,Medium,Linux-CI/CD-Docker-Kubernetes
B.E Computer Science,"CSS, Cloud Computing, JavaScript, SQL",AI,Exploring Open Source,Designing User Experiences,Mathematics,DevOps Engineer,95574,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
BCA,"JavaScript, Data Structures, Azure, Machine Learning",UI/UX Design,Designing,Solving Problems,Computer Science,Software Developer,83162,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
BCA,"Deep Learning, Cybersecurity, Cloud Computing, Docker",Game Design,Building Projects,Solving Problems,Physics,AR/VR Developer,89605,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
B.E Computer Science,"React, HTML, DevOps, Node.js",Software Engineering,Designing,Solving Problems,Electronics,QA Automation Engineer,132602,Write automated test suites.,High,Selenium-PyTest-API Testing
B.Tech CSE,"DevOps, Cloud Computing, C++, Automation",Cloud Computing,Gaming,Securing Networks,Information Technology,UI/UX Designer,83477,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
MSc Computer Science,"C++, Cybersecurity, DevOps, CSS",Software Engineering,Reading Tech Blogs,Securing Networks,Mathematics,Cloud Engineer,74955,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
12th,"SQL, DevOps, Cybersecurity, Java",Machine Learning,Exploring Open Source,Creating Technology,Computer Science,Cloud Engineer,143776,Design and maintain cloud infrastructure.,Very High,AWS-Azure-GCP-Docker-Kubernetes
MTech Data Science,"SQL, AWS, Linux, Automation",Machine Learning,Competitive Programming,Securing Networks,Information Technology,Backend Developer,61018,Manage server-side logic and databases.,Medium,Node-Python-Databases-APIs
MTech Artificial Intelligence,"Cloud Computing, Azure, Machine Learning, AWS",Machine Learning,Gaming,Creating Technology,Information Technology,Backend Developer,116290,Manage server-side logic and databases.,High,Node-Python-Databases-APIs
B.E Computer Science,"Python, React, Deep Learning, Networking",Game Design,Coding,Designing User Experiences,Electronics,Game Developer,70711,Build interactive video games.,Very High,Unity-C#-GamePhysics
B.E Information Science,"Docker, CSS, Python, HTML",Software Engineering,Debugging,Designing User Experiences,Computer Science,Cybersecurity Analyst,69587,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
BSc Information Technology,"Automation, Kubernetes, React, Linux",Web Development,Gaming,Developing Web Apps,Information Technology,Network Engineer,141357,Maintain network systems and connectivity.,Very High,Routing-Switching-NetworkSecurity
BSc Information Technology,"Docker, React, Cloud Computing, Kubernetes",UI/UX Design,Competitive Programming,Designing User Experiences,Electronics,Full Stack Developer,130449,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
B.E Information Science,"Machine Learning, React, Linux, JavaScript",Cloud Computing,Building Projects,Working with Data,Information Technology,Backend Developer,116607,Manage server-side logic and databases.,High,Node-Python-Databases-APIs
10th,"HTML, Azure, Cloud Computing, Deep Learning",App Development,Debugging,Developing Web Apps,Computer Science,AI Engineer,60620,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
B.E Computer Science,"Kubernetes, Cybersecurity, Automation, React",Machine Learning,Coding,Solving Problems,Mathematics,Database Administrator,76696,Manage and secure databases.,Very High,SQL-NoSQL-DBSecurity
B.Tech CSE,"Cybersecurity, Machine Learning, AWS, Deep Learning",Web Development,Exploring Open Source,Creating Technology,Mathematics,QA Automation Engineer,113840,Write automated test suites.,High,Selenium-PyTest-API Testing
BCA,"Docker, Azure, CSS, Java",Networking,Gaming,Solving Problems,Physics,Machine Learning Engineer,90089,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
Diploma in Computer Engineering,"Java, Cybersecurity, AWS, Cloud Computing",Web Development,Coding,Securing Networks,Information Technology,Blockchain Developer,63924,Develop blockchain-based applications.,Very High,SmartContracts-Web3-Cryptography
BSc Information Technology,"HTML, DevOps, Networking, Azure",Game Design,Gaming,Designing User Experiences,Computer Science,Cloud Engineer,107851,Design and maintain cloud infrastructure.,Very High,AWS-Azure-GCP-Docker-Kubernetes
Diploma in Computer Engineering,"SQL, Deep Learning, Data Structures, Kubernetes",Software Engineering,Building Projects,Working with Data,Mathematics,Data Scientist,143547,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
MSc Computer Science,"Azure, Python, SQL, Cloud Computing",Web Development,Gaming,Creating Technology,Data Science,AI Engineer,104281,Develop AI-powered applications.,Very High,AI-ML-NLP-DeepLearning
10th,"Data Structures, Automation, Azure, JavaScript",Web Development,Competitive Programming,Designing User Experiences,Mathematics,Machine Learning Engineer,101190,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
BCA,"Deep Learning, Linux, Node.js, C++",Ethical Hacking,Exploring Open Source,Solving Problems,Electronics,Full Stack Developer,144432,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
MCA,"Cloud Computing, HTML, Java, Data Structures",Networking,Exploring Open Source,Working with Data,Electronics,DevOps Engineer,140408,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
MTech Artificial Intelligence,"Azure, React, Networking, Machine Learning",Game Design,Gaming,Building Intelligent Systems,Physics,AI Engineer,146945,Develop AI-powered applications.,Medium,AI-ML-NLP-DeepLearning
MSc Computer Science,"AWS, C++, Linux, SQL",Game Design,Designing,Securing Networks,Computer Science,Database Administrator,144552,Manage and secure databases.,Very High,SQL-NoSQL-DBSecurity
12th,"Machine Learning, Linux, Kubernetes, AWS",Game Design,Debugging,Working with Data,Physics,Software Developer,72705,Develop and maintain software applications.,High,DSA-OOPs-Databases-APIs
10th,"Java, Linux, Networking, Data Structures",AI,Designing,Automating Processes,Physics,Software Developer,125545,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
BSc Computer Science,"Java, Azure, SQL, Data Structures",Software Engineering,Exploring Open Source,Building Intelligent Systems,Information Technology,AR/VR Developer,76324,Create immersive AR/VR experiences.,Very High,Unity-3D Modeling-ARKit-VRSystems
